rating,rating_raw,date,content
4,★★★★,2016-02-20,"★★★★
Watched by DynamicCalories 20 Feb 2016
I liked the Fox and the Rabbit www.eyeforfilm.co.uk/review/zootropolis-2016-film-review-by-luke-shaw
No likes yet"
4,★★★★,2016-02-19,"★★★★ Watched by Nabucodorozor 19 Feb 2016
Fa ridere, c'ha il metaforone Disney, è ispirato nelle robe che mette su schermo ed è un buddy cop movie che funziona bene nonostante abbia degli sviluppi piuttosto leggibili. Sopravvive con slancio alla canzone di Shakira e al doppiaggio italiano con la gente di merda, e onestamente non l'avrei detto.
2 likes"
3.5,★★★½,2016-02-21,"★★★½
Watched by Jeremy Crabb 21 Feb 2016
1
Though it falls into some big cliches, and is very predictable, Zootopia touches on some issues in society that needed to be discussed at this point in time, and it is beautifully animated. The voice talent is all great, and the two lead characters are very likable, though not incredibly memorable. It has some great humor as well, and I can't deny that I had fun with it. Though it may be very formulaic, Zootopia is very fun and it has the balls to address issues that should be addressed and discussed, so I must give it credit for that.
GRADE: B
8 likes"
4,★★★★,2016-02-21,"★★★★ Watched by Ralph 21 Feb 2016
Animation is not a genre and should not be stereotyped as for kids only. Disney's Zootopia cleverly conveys that and more as it goes beyond the usual ""follow your dreams"" by dealing with social issues such as prejudice, discrimination, and stereotypes. The result? A complex mystery film with two unlikely friends learning from life's mistakes as they discover more about society through each other's eyes. Their journey serves as a social commentary on how an individual's worth can be unfairly ignored. They stood up against hasty generalizations and ultimately showed us that there can be unity in diversity.
10 likes"
4.5,★★★★½,2016-02-21T19:47:38.220Z,"★★★★½
Added by Etzon Robles 22 Feb 2016
Menuda sorpresa.
Zootopia es tal vez una de las películas más relevantes de la casa de Mickey Mouse, con mensajes potentes que le gritan a una sociedad lo que hay bien y mal. Todo con un humor muy familiar que si bien no será del agrado de todos, a mi me sentó de maravilla.
Los personajes son carisma puro y no se quedan encerrados en conflictos unidimensionales, pues sus intereses dan para más y proyectan las emociones de varios de… more
1 like"
4,★★★★,2016-02-20,"★★★★
Watched by Malleys 20 Feb 2016
1
No esperaba absolutamente nada de esta película tras ver su primer trailer, no mostraba más reclamo que un mundo de animales parlantes como tantos otros que se han hecho, y lo poco que vi más adelante seguía sin decirme nada, además me daba la sensación de ser nivel Dreamworks. No obstante ante los montones de alabanzas que ha recibido desde su estreno captó mi interés, y aquí estamos.
Es cojonuda. El mundo que presenta es brillante y muy bien pensado,… more
2 likes"
4.5,★★★★½,2016-02-21,"★★★★½ Watched by Robbe Vdk 21 Feb 2016
Wat maakt (voor mij) deze film goed?
Het is een film die bekeken kan worden door kinderen én door volwassenen (ookal snappen kinderen sommige hilarische stukjes niet) en de linken met de huidige maatschappij zijn duidelijk aanwezig. (Prachtig getoond, met een paar heel rake beelden!)
Maar als ik de zaal buiten stapte, vond ik dit geen kinderfilm. En dat is het ding net!
Een kind ziet deze film als een leuk avontuur. Een volwassene begrijpt de hele boodschap erachter. Dat… more
2 likes"
4,★★★★,2016-02-21,"★★★★
Watched by SirLaguna 21 Feb 2016
Este es mi ""buddy film"" favorito desde Hot Fuzz.
Si, es una película divertidísima que continua la racha que lleva Disney con Tangled, Wreck-It Ralp, Frozen y Big Hero Six con honor. Eso casi sobra decirlo. Lo que de verdad me sorprendió y enamoró de esta película es su forma de abordar temas críticos y sensibles de la realidad actual estadounidense en una metáfora nada sutil sobre como persisten ideologías racistas, sexistas y prejuiciosas en la sociedad.
No es casualidad… more
3 likes"
4,★★★★,2016-02-21,"★★★★
Watched by TaqueroSatanico 21 Feb 2016
Disney va muy bien con sus fábulas modelo siglo XXI. Esto es un thriller policiaco, es sobre diversidad y también es furry. The whole package (?).
Esto no tiene que ver con la película, pero la línea de juguetes es genial. Cómprenme todo.
6 likes"
3,★★★,2016-02-21,"★★★ Watched by Alberto 21 Feb 2016
Ok, fabula moderna sobre aceptar al prójimo y sobre como alcanzar tu sueño a base de esfuerzo y trabajo.
Los animales están ad hoc con las profesiones que les dieron.
No likes yet"
4.5,★★★★½,2016-02-22,"★★★★½
Watched by Nik 22 Feb 2016
'Zootopia' is a fun, mystery, thriller from Disney Animation. Our heroes Officer Judy Hopps (Ginnifer Goodwin) and Nick Wilde (Jason Bateman) go on a journey to find the cause for citizens of Zootopia to turn back to their primal instincts and become as they say, ""savage.""
The star-studded voice cast including Idris Elba, JK Simmons, Jenny Slate and Bonnie Hunt (just to name a few) make the film more serious and add their own senses of humor to it as… more
2 likes"
3.5,★★★½,2016-02-21,"★★★½
Watched by Joan of Art 21 Feb 2016
I wasn't expecting much of this movie... And it turned out to be a good surprise! It's one of those Disney's that manage to capture your attention and make you laugh often, showing off narrative skills strong enough to make you forget it's only a copy of the precedent storyline.
So. A female bunny born on a farm wants to be a cop in the big city Zootopia, one job a ''small animal'' has never had before. Despite everyone's reluctance… more
2 likes"
4,★★★★,2016-02-22,"★★★★
Watched by Sigfred Storstrand 22 Feb 2016
Disney has managed to tackle some incredibly current themes, with a great piece of social commentary, made available for all ages. Also probably the best buddy-cop movie since 21 Jump Street.
18 likes"
3,★★★,2016-02-22,"★★★ Watched by Paulus Theodore 22 Feb 2016
Beautiful, funny and clever. Go see Zootopia with your kids.
1 like"
