rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
3.5,2022-05-16,"I think this movie is great but either those reviewers are on drugs or are getting paid because this should not be rated higher than Dark Knight, Shawshank Redemption, infact this shouldn't be over a 90% it should be 89% or something. I can not believe this.",47,en,think movie great either reviewer drug getting paid rated higher dark knight shawshank redemption infact something believe,2022-05,17
5.0,2022-05-03,"It's such a cute film aimed at kids, but it also explores deeper themes like people's implicit bias. Super culturally relevant. A+",22,en,cute film aimed kid also explores deeper theme like people implicit bias super culturally relevant,2022-05,15
4.0,2022-04-30,man I hate furries so much,6,en,man hate furries much,2022-04,4
5.0,2022-04-04,Zootopia certainly knows how to make an intruging story that is filled with fun and entertaining moments plus the characters that were very well developed as the scenes progress.,29,en,zootopia certainly know make intruging story filled fun entertaining moment plus character well developed scene progress,2022-04,16
4.5,2022-04-03,"Good story, animation and voice acting. A bit dark at times, which is surprising but quite entertaining and plenty of comical moments.",22,en,good story animation voice acting bit dark time surprising quite entertaining plenty comical moment,2022-04,14
4.0,2022-03-07,"This animated comedy was really good. Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Shakira, and the rest of the cast did a fantastic job on this movie. The plot of the movie was entertaining, humorous, and thrilling. It's about fighting for something you've always wanted and doing what's right to bring the true criminals to justice. If you haven't seen this animated movie yet, check it out sometime. It's a great movie for an entire family.",77,en,animated comedy really good ginnifer goodwin jason bateman idris elba jenny slate shakira rest cast fantastic job movie plot movie entertaining humorous thrilling fighting something always wanted right bring true criminal justice seen animated movie yet check sometime great movie entire family,2022-03,42
4.5,2022-01-28,"Fun film, super fresh and a pretty great time overall, I really like the story and the message behind it, kind of dark but I like it, I love when Pixar talks about things like this even if they are hidden behind an animation film (just like with ""The Incredibles""), that doesn't mean people won't ge it, it has great meaning and that's great. One thing that I don't like about this film is the twist-villain, pretty silly from my point of view...",83,en,fun film super fresh pretty great time overall really like story message behind kind dark like love pixar talk thing like even hidden behind animation film like incredibles mean people ge great meaning great one thing like film twist villain pretty silly point view,2022-01,44
5.0,2022-01-10,"My 14 year old daughter just had me watch this for our family movie night and it was fantastic! Judy Hopps, first ever bunny cop, heads to the big city of Zootopia. Will it eat her alive? Witty, with a couple of great messages that don't beat you over the head. Fab voice acting, stunning artwork and just all around great entertainment.",62,en,year old daughter watch family movie night fantastic judy hopps first ever bunny cop head big city zootopia eat alive witty couple great message beat head fab voice acting stunning artwork around great entertainment,2022-01,34
4.0,2022-01-06,"A nice story that is fittingly concerned with nature and individuality. It has a nice message and tackles some chancy themes in a very mature way which could easily have been inappropriate if handled wrong. The world is colorful and beautifully animated, and how everything works has a lot of nice creativity behind it. The movie is also very funny, and the humor is also taking advantage of the unique setting.",71,en,nice story fittingly concerned nature individuality nice message tackle chancy theme mature way could easily inappropriate handled wrong world colorful beautifully animated everything work lot nice creativity behind movie also funny humor also taking advantage unique setting,2022-01,37
3.0,2022-01-04,"Even if it often leaves you excited for the next plot point, overall it comes off as wonky. The jokes aren't really that funny outside of ""sloth is slow get it"" while the commentary about introducing crack cocaine to Black neighborhoods comes across as weird when you realize the predator/prey dynamic is literally separate species, uncomfortable at best for a racial comment.",62,en,even often leaf excited next plot point overall come wonky joke really funny outside sloth slow get commentary introducing crack cocaine black neighborhood come across weird realize predator prey dynamic literally separate specie uncomfortable best racial comment,2022-01,37
4.5,2021-12-21,"This story has a lot of messages about police brutality and racism. The main character herself seems to be a metaphor for a racist cop learning the truth about her society. Judy Hopps and Nick Wilde have become very well known amongst Disney fans. The music is pretty cool, the world building excellent and the characters are fun. Nick Wilde's growth is similar to Eugene in which it shows a person who does bad things change their ways. I wouldn't say this movie is exactly life changing and it's definitely not the best anti racism story you can show to your kids. It's more of a movie that would be enjoyed by animal lovers in general.",116,en,story lot message police brutality racism main character seems metaphor racist cop learning truth society judy hopps nick wilde become well known amongst disney fan music pretty cool world building excellent character fun nick wilde growth similar eugene show person bad thing change way say movie exactly life changing definitely best anti racism story show kid movie would enjoyed animal lover general,2021-12,62
5.0,2021-12-18,Absolutely the best animated film of all time.,8,en,absolutely best animated film time,2021-12,5
5.0,2021-12-10,"the movie is spectacular, the movie appealed to me from start to finish, which is hard to do in movies, Zootopia is the kind of movie that you connect with the movie, the investigative parts and so on.",38,en,movie spectacular movie appealed start finish hard movie zootopia kind movie connect movie investigative part,2021-12,15
5.0,2021-12-08,"One of my favorite Disney movies ever, Zootopia is a funny and heartwarming movie that has great pacing and a good message that people should watch. 🦊🐰",27,en,one favorite disney movie ever zootopia funny heartwarming movie great pacing good message people watch,2021-12,15
3.5,2021-12-07,"Fun buddy cop adventure, with silly moments.",7,en,fun buddy cop adventure silly moment,2021-12,6
5.0,2021-11-17,I love this movie to the ends of the Earth,10,en,love movie end earth,2021-11,4
5.0,2021-11-15,"In a large city populated by mammals of every sort, a bunny cop must team up with a street hustling fox to solve a missing mammal case. What makes this movie shine is the writing. Creating an allegory for racism between predators and prey works extremely well. The different boroughs of Zootopia to accommodate animals from different environments is creative. Jason Bateman and Ginnifer Goodwin work well together and the supportive cast is memorable in their own ways. This film is well put together, a new gem in Disney animation and a must watch.",94,en,large city populated mammal every sort bunny cop must team street hustling fox solve missing mammal case make movie shine writing creating allegory racism predator prey work extremely well different borough zootopia accommodate animal different environment creative jason bateman ginnifer goodwin work well together supportive cast memorable way film well put together new gem disney animation must watch,2021-11,58
5.0,2021-11-13,"Nick P Wilde steals The show Immensely. I Want him - MunkmasterMarisa Onto more pressing matters. Judy hopps can Go to Zoo H E Double Hockey Stix. Such a D-bag. However, I Will say she Does Bring a Nice Foil Aspect to the Dynamic between her and Nick p Wilde. Anywho, Sincerelky",52,en,nick p wilde steal show immensely want munkmastermarisa onto pressing matter judy hopps go zoo h e double hockey stix bag however say bring nice foil aspect dynamic nick p wilde anywho sincerelky,2021-11,33
5.0,2021-11-09,One of my absolute favorite movies,6,en,one absolute favorite movie,2021-11,4
4.0,2021-11-04,"Visually fun and very clever, this flick is the kind of kid's movie that adults can also enjoy!",18,en,visually fun clever flick kind kid movie adult also enjoy,2021-11,10
4.5,2021-10-25,"This is one of the times when the animation was again at one of highest heights. Animation quality, thrills, humor, voice cast are all fantastic. Some nit-picky flaws in storytelling but other than that a charming film.",37,en,one time animation one highest height animation quality thrill humor voice cast fantastic nit picky flaw storytelling charming film,2021-10,19
5.0,2021-10-14,saw it in the theater twice.one of the best animated movies ever,12,en,saw theater twice one best animated movie ever,2021-10,8
5.0,2021-08-27,"As a young viewer, this movie is definitely incredible for me. I'm remembering 8 years old me screaming in the cinema because of Nick Wilde! What a childhood!",28,en,young viewer movie definitely incredible remembering year old screaming cinema nick wilde childhood,2021-08,13
5.0,2021-08-23,"One of the best animated movies ever!! Top quality animation and voice acting put this near the top. Add the inspirational and good message with a unique and great story (plenty of parts that make you chuckle, too!) with a unique setting and this rockets to quite possibly my favorite animated movie.",52,en,one best animated movie ever top quality animation voice acting put near top add inspirational good message unique great story plenty part make chuckle unique setting rocket quite possibly favorite animated movie,2021-08,32
